campaign_id,campaign_name,campaign_type,channel,status,start_date,end_date,target_audience,target_segment,objective,budget,spent,remaining_budget,impressions,clicks,conversions,revenue,ctr,conversion_rate,cpc,cpa,roas,kpis_target_ctr,kpis_target_conversion_rate,kpis_target_roas,kpis_target_cpa,creative_assets,landing_page,utm_parameters_utm_source,utm_parameters_utm_medium,utm_parameters_utm_campaign,utm_parameters_utm_content,utm_parameters_utm_term,team_lead,agency,notes
CAMP1000,Winter Campaign 2024,Email,Hybrid,Active,2025-12-17,2026-03-05,New Customers,Beauty,Brand Awareness,313716,185315,128401,776107,72908,7936,260008,9.3941,10.88,2.54,23.35,1.4,2.23,7.74,5.61,53,5,https://example.com/sale/1000,google,cpc,campaign_1000,text,offer,REP120,Agency B,Needs optimization
CAMP1001,Winter Promotion 2023,Radio,Traditional,Planning,2026-03-02,2026-03-09,Loyal Customers,Beauty,Customer Retention,272228,0,272228,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.68,6.2,8.65,445,8,https://example.com/sale/1001,facebook,cpc,campaign_1001,text,discount,REP101,Agency A,
CAMP1002,Fall Sale 2024,Influencer,Digital,Planning,2025-11-18,2026-02-16,All Customers,Home & Kitchen,Sales,289127,0,289127,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.7,4.62,9.34,148,3,https://example.com/promo/1002,google,cpc,campaign_1002,video,offer,REP118,Agency B,
CAMP1003,Back to School Sale 2024,Print,Traditional,Planning,2026-01-02,2026-03-23,New Customers,Home & Kitchen,Sales,420982,0,420982,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.33,5.45,8.33,56,10,https://example.com/sale/1003,facebook,cpc,campaign_1003,banner,sale,REP112,In-house,High performing campaign
CAMP1004,Winter Campaign 2024,Search Ads,Traditional,Active,2026-02-28,2026-04-16,New Customers,Beauty,Customer Retention,406861,304444,102417,254852,96510,1080,258334,37.869,1.12,3.15,281.89,0.85,1.57,7.85,3.22,216,1,https://example.com/offer/1004,google,social,campaign_1004,video,discount,REP112,Agency B,Seasonal campaign
CAMP1005,Summer Event 2023,Email,Traditional,Paused,2026-01-20,2026-02-24,All Customers,Electronics,Customer Retention,347616,127543,220073,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.53,6.89,5.35,380,9,https://example.com/sale/1005,email,cpc,campaign_1005,banner,sale,REP115,,Needs optimization
CAMP1006,Fall Campaign 2024,Radio,Traditional,Cancelled,2026-02-01,2026-02-18,All Customers,Fashion,Brand Awareness,466956,16030,450926,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.89,5.59,8.58,165,5,https://example.com/sale/1006,email,social,campaign_1006,banner,offer,REP100,,Needs optimization
CAMP1007,Back to School Event 2024,Print,Traditional,Completed,2026-03-02,2026-05-22,Cart Abandoners,Electronics,Sales,375715,153430,222285,634632,43805,4840,268919,6.9024,11.05,3.5,31.7,1.75,1.79,6.08,6.58,232,8,https://example.com/sale/1007,facebook,social,campaign_1007,video,sale,REP114,Agency B,Needs optimization
CAMP1008,Winter Sale 2023,Influencer,Digital,Paused,2026-01-14,2026-02-10,Cart Abandoners,Sports,Customer Retention,440710,386051,54659,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.2,7.99,6.87,296,5,https://example.com/offer/1008,instagram,email,campaign_1008,text,sale,REP104,,Seasonal campaign
CAMP1009,Spring Promotion 2023,Radio,Traditional,Completed,2026-02-16,2026-03-12,All Customers,Fashion,Brand Awareness,258036,93085,164951,600364,51075,4709,111189,8.5073,9.22,1.82,19.77,1.19,4.93,8.75,8.24,391,7,https://example.com/sale/1009,instagram,email,campaign_1009,video,offer,REP111,Agency A,Needs optimization
CAMP1010,Holiday Event 2023,TV,Hybrid,Paused,2026-02-11,2026-03-19,All Customers,Electronics,Customer Retention,120907,107645,13262,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.04,9.91,6.47,277,4,https://example.com/promo/1010,google,cpc,campaign_1010,text,sale,REP119,In-house,Needs optimization
CAMP1011,Back to School Event 2023,Social Media,Hybrid,Cancelled,2026-01-23,2026-03-16,High Value,Fashion,Sales,24507,15617,8890,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.13,4.6,7.01,172,8,https://example.com/sale/1011,google,social,campaign_1011,text,discount,REP112,,Needs optimization
CAMP1012,Holiday Sale 2024,Social Media,Traditional,Paused,2026-01-04,2026-02-02,Loyal Customers,Sports,Sales,182364,79610,102754,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.09,5.51,3.56,310,2,https://example.com/promo/1012,email,social,campaign_1012,banner,discount,REP110,,
CAMP1013,Winter Campaign 2023,Social Media,Hybrid,Cancelled,2026-01-15,2026-04-08,All Customers,Sports,Brand Awareness,80583,48482,32101,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.26,7.67,8.34,300,3,https://example.com/promo/1013,instagram,cpc,campaign_1013,banner,sale,REP115,,Needs optimization
CAMP1014,Spring Campaign 2024,Radio,Traditional,Completed,2025-12-28,2026-01-07,Cart Abandoners,Sports,Customer Retention,425202,135549,289653,354850,39609,2432,476075,11.1622,6.14,3.42,55.74,3.51,2.51,6.09,5.1,355,2,https://example.com/sale/1014,email,social,campaign_1014,banner,offer,REP105,,
CAMP1015,Fall Sale 2023,Search Ads,Digital,Active,2025-12-16,2026-01-12,Cart Abandoners,Electronics,Sales,284091,70162,213929,435983,59343,6601,82897,13.6113,11.12,1.18,10.63,1.18,4.74,3.42,4.26,102,10,https://example.com/promo/1015,google,social,campaign_1015,video,discount,REP113,,High performing campaign
CAMP1016,Summer Promotion 2023,Radio,Digital,Completed,2026-01-02,2026-01-26,High Value,Sports,Lead Generation,188465,69641,118824,232016,74190,8385,206760,31.9762,11.3,0.94,8.31,2.97,2.61,5.29,6.09,80,8,https://example.com/offer/1016,google,social,campaign_1016,video,discount,REP112,In-house,Seasonal campaign
CAMP1017,Summer Sale 2023,TV,Digital,Active,2025-12-13,2026-01-28,Loyal Customers,Electronics,Brand Awareness,435577,257569,178008,803964,26481,6144,359726,3.2938,23.2,9.73,41.92,1.4,3.12,8.68,5.49,142,3,https://example.com/offer/1017,email,cpc,campaign_1017,banner,sale,REP119,Agency B,
CAMP1018,Spring Promotion 2024,Display Ads,Hybrid,Completed,2026-03-01,2026-03-23,New Customers,Beauty,Lead Generation,458460,275082,183378,305361,48127,3870,291501,15.7607,8.04,5.72,71.08,1.06,3.96,7.84,5.32,451,3,https://example.com/offer/1018,instagram,social,campaign_1018,text,offer,REP103,In-house,Needs optimization
CAMP1019,Holiday Event 2023,Email,Traditional,Planning,2025-12-10,2025-12-21,Loyal Customers,Electronics,Brand Awareness,36738,0,36738,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.21,3.86,6.47,93,10,https://example.com/offer/1019,email,social,campaign_1019,text,discount,REP111,,Seasonal campaign
